Nama Pengulas,Ulasan,Rating
Siska Hidayatul H,Jaman dlu beli avocado coffe enak baanget masih ada rasa alpukatnya tapi sekarang udah gk enak kaya rasa minum pop ice melon.. sy beli 2 biji terus beli 3 biji take away gk dapet tasnya padahal saya udah bilang gpp pake aja cuma malah gk … Lainnya,1 bintang
Masyar Arief,"tempatnya enak buat nugas soalnya free wifi hehe, bikin kopinya juga satset. pelayanannya gak seburuk itu kok 😁👍 … Lainnya",4 bintang
Erri Ashari,"Manteeep joooosss, cm sempit tempatnya
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Rizky Iriyanto,"Di sini enak nyantai sehabis lari
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Zahratu Sitha,"Kak,capybaranya dijual ga?😔 …
Makanan: 5…
Lainnya",5 bintang
Nadya Shovia,"Langganan, karena emg paling dekat jangkauan. Dengan rasa yg taste nya tidak konsisten, tapi ya tetep balik lagi.. kalo baca-baca komen di ig kopken yaa emg semua bilang rasanya sudah berbeda.. … Lainnya",4 bintang
Tuan Gumer,"Adem terus dan bikin seger ngopi dimari sambil liat busway 😁 …
Jenis pesanan…
Lainnya",5 bintang
Naufal Dzakia,Tolong tukang parkir nya di usir masa cuman ambil kopi aja di parkirin padahal gk sampe 2 menit ambil kopi risih gk selalu bawa receh,1 bintang
FIONA FANJAYA,"Saya datang dengan mood yang gaenk + dapet pelayanan yang gak enak juga. Saya datang bersama rekan kerja saya, yang saya pun tidak akrab dan berjauhan bedirinya dan saat masuk ke kopken saya pun tidak tegur sapa dan bahkan rekan kerja saya … Lainnya",1 bintang
As Queen,"Suka banget sama kopi kenangan mantan, suka nongkrong jg di kopken purbet nyaman bgt, cuma tolong toiletnya di bersihkan, sayang bgt dlu ga sekotor sekarang",3 bintang
Armand De Veterano,"Lokasi dan lay out interiornya minimalis. Toiletnya cukup bersih, parkiran cukup luas. Sayangnya ruangan ber-AC cuma tersedia 2 meja drpd yg nggak ber-AC...",5 bintang
Bobby Ariawan,"Tempat yang cocok buat yang mo ngopi dan ngerokok, tersedia tempat luas..
Jenis pesanan…
Lainnya",5 bintang
humfriraska,"Pasti pas dan cocok akurasi paduan aroma, rasa kopinya dan tentunya harganya masih relatif gak nerobos kantong.",5 bintang
Sukmono Aji,"Ada area dine in dan smoking area di lantai 2, banyak colokan listrik juga.... Pegawai2nya ramah mirip pegawai Starbucks keramahannya... Lainnya",5 bintang
Julius Johanes,"Banyak tukang parkir liar nya
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Fitri Purnawati,"Staff nya kurang edukasi terkait promo yg berlangsung, saya beli di outlet lain dengan promo yg sama bisa tetapi di outlet ini infonya beda Lainnya",2 bintang
Ayu Werawati,"Kopi sama seperti kopi kenangan lainnya. Parkir memadai. Service ramah dan cepat.
Makanan: 5…
Lainnya",5 bintang
Muhamad Hafidz Ramadhan,Pelayanan yang baik as usual. Jika boleh memberi saran bisa ditambahkan area kursi untuk pengunjung yang non-smoking.,5 bintang
Fairus Fairus,Karyawan nya suka meremehkan ojol dan kadang bersikap ga sopan.... Tolong didik etika sopan santun sama orang yg lebih tua,1 bintang
Dick Indra,"Cocok bagi pencinta berbagai minuman terutama kopi.
Jenis pesanan
Bawa p…
Lainnya",5 bintang
Helmalia Syahara,"ada buat tempat nongkrongnya diatas dan enak, disediakan buat ruang merokok",5 bintang
Ardy Sanka,Rasanya enak tapi kalo beli langsung gak dapet plastik gak kayak ditempat lain :(,5 bintang
Mohamad Fahrurozi,"Kopinya enak, harga terjangkau. Tapi pelayanan jelek banget",4 bintang
Indra Batubara,"Selalu ada tukang parkir, cm pickup malesss
Makanan: 5…
Lainnya",3 bintang
Harimau Sumatera,"Lebih suka kopi kenanganan dari pada kopi lain entah kenapa👍 …
Jenis pesanan…
Lainnya",5 bintang
margi wijaya,"Not bad, tapi ada yang lebih murah dan agak mirip rasanya...",5 bintang
Wahyu Suci N,"Rasanya lumayan yg 100% chocolate, pengen coba yg lain
Jenis pesanan
Baw…
Lainnya",5 bintang
Roni Rohaeni,Bisa aja,4 bintang
Salman Faris,"Toilet customer nya jorok dan bau parahh
Jenis pesanan
Makan di tempat…
Lainnya",2 bintang
nalasittasari,"Enaak
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Andrew Pelmelay,"Kerjanya lelet/lambat
Laki laki hobby ngobrol semua",1 bintang
Nur Hadi Wibowo,Mampir sini beli kopi biar gak ngantuk..,5 bintang
Tho ming she Toni,Lumayanlah tmp...sayang kg bisa kopi di tmp,3 bintang
Rio Primus,"Baristanta lucu lucu
Makanan: 5
Layanan:…
Lainnya",5 bintang
Amsar Ganteng,"Pegawai ramah tamah,baik hati baik Budi
Makanan: 5…
Lainnya",5 bintang
Sayoor Kool,Kopi mantab..dekat rumah lagi..,5 bintang
Pusat Reflective,"Mahal. Parkir nya
Makanan: 4
Layanan:…
Lainnya",4 bintang
Mvi Daus,"Kopasus enak JKT dan sktrnya
Makanan: 5…
Lainnya",5 bintang
Ishaya Yoge,"Always the best ""kenangan mantan""
Makanan: 4…
Lainnya",4 bintang
bw mardias,Ok mantaf,5 bintang
andhika lutfie,Ngopi sambil meeting 👍 …,5 bintang
Sobrie Uno,"Mantabs...Deket dari rumah
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
cahyo wisanggeni,"mandi di pom
Makanan: 5
Layanan:…
Lainnya",5 bintang
Awinda Awinda,"Langganan beli kopi kenangan
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Eka Indrie Sari Suwarno,Kopi dan tempatnya mantaappp,5 bintang
Kylia tiani,"mantap luar biasa ini
Layanan: 5
Suasana:…
Lainnya",5 bintang
Kristianto Purnomo,Rapi Bersih Nyaman,5 bintang
Eko Febriyanto,Lumayan.oke,5 bintang
Moh ali Mahadir,Penyajian cepat dan ramah,5 bintang
Zulfikar Zali,Mantab,5 bintang
Rizky Maulana,"Mantap jiwahhh
Makanan: 5
Layanan:…
Lainnya",5 bintang
pello the only,Mantap,5 bintang
faisal pahlevy,Meeting point strategis,5 bintang
Seviani Marasita,Mantul,5 bintang
rama_dhans 93,"Enak nyaman
Makanan: 5
Layanan:…
Lainnya",5 bintang
Bogor Indah Florist,Tempat nyaman dan asyik,5 bintang
Kabul Subagyo,,5 bintang
Subo Kastowo,Strategis Place,5 bintang
Bambang Sukowo,Pas dengan saya,5 bintang
Herlinas Sutikno,"Karyawannya semua ramah, mantab ahh!",5 bintang
Devi Yola,"Terbaik !! Baristanya ramah2 polll, lucu dan menggemaskan hihi
Makanan: 5…
Lainnya",5 bintang
Ika ratih,"Pelayanan barista cewe2nya excellent ramaah semuaaa dan dendii jugaa..bikin betaah dn balik lagi ke store itu, padahal jarak rumah ke store raden lebih deket..tapi lebih suke store purbet ❤️❤️ Lainnya",5 bintang
Otoy69 Gondes,Tempat nya strategis pelayanan nya bagus,5 bintang
Faiz Kurniawan,"bagus.. di dalem dingin di luar biar bernafas
Jenis pesanan
Makan di tem…
Lainnya",5 bintang
Salsa Billah,"barista nya ramah tempat nya bersih
Makanan: 5…
Lainnya",5 bintang
Putri Aprilia,"Masih tetep tempat favorite buat ngopi sendiri atau ramean bareng teman. Karna pelayanan juga baik, stafnya friendly. Hampir setiap hari kesini juga. Lainnya",5 bintang
Aprilillah Larasati,"Pelayanan baik, ramah & cepat
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Muhammad Fachri,"sangat nyaman tempat nya
Makanan: 5…
Lainnya",5 bintang
Zahara Rusli,"Pelayanan ramah
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Nayla Azzahra,"tempat nya nyaman, bagus
Makanan: 4…
Lainnya",5 bintang
aulia putri,bagus,5 bintang
Ical Eyza,Pelayanan ok,5 bintang
Rizky Fahrizal,"Rasa dan , pelayanan ny oke
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Fitrianti Iphiet,"Tempatnya enak dan nyaman,,petugasnya ramah2 semua
Makanan: 5…
Lainnya",5 bintang
Solihin _n,"Tempat nyaman
Barista komunikatif
Rasanya konsisten
Makanan: 5…
Lainnya",5 bintang
Bali Umar,"Bagus dan nyaman rasa nya juga konsisten
Makanan: 5…
Lainnya",5 bintang
Muhammad Rayyan Budi Prahesa,"keren
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
anggi nasution,Beli kopi kenangan mantan rasa nya kek minum air es gak ada rasa kopi dan susu nya encer gak ada creamy2 nya.. padahal dlu awal2 rasa nya enak makin kesini makin gak konsisten rasanya padahal udah ada SOP recipe masa rasa nya beda2 tiap … Lainnya,1 bintang
Hikmatul Amalia,pernah beli disini tanggal 17 april 2026 gila udh antri lama2 n kasirnya blg suruh nunggu pas disuruh nunggu malah diserobot antriannya n DILAYANIN !!?!! lain kli klo jdi kasir yg teliti ya mas saya pun kasir tp ga pernah ngebiarin cust nyerobot antrian n selalu inget siapa yg dluan antri maaf 🙏🏻 … Lainnya,1 bintang
Nabila az Syahro,"aslinya toko ini tutup jam berapa ya, kmren dareng 23.20 bilangnya udh closed order. hari ini dteng lagi beli makan sama minum untuk minum sih oke2 aja tapi beli pasta tuna sampe rumah datengnya pasta beku!!!! niat hati beli jadi langsung … Lainnya",1 bintang
Selfi Nita Afianti,"Tempatnya bagus dan nyaman
Makanan: 5…
Lainnya",5 bintang
ELLY MUHMIN,"Barista : Dendy dan Lina ...
Mantap racikan nya gaes ...
Keep the good work 👏 …
Jenis pesanan…
Lainnya",5 bintang
amanda putri,"Barista sangat sangat ramaaah
Makanan: 5…
Lainnya",5 bintang
Shinta Novarianti,"pelayanannya baik, best deh pokonya mah😋 …
Makanan: 5…
Lainnya",5 bintang
Muhammad Umar Fadil,"mantap pokonya buat NGOPI pagi siang sore malem
Makanan: 5…
Lainnya",5 bintang
Rivanda Hendhianti,"pelayanan ramahh, cepatt dan pegawainyaa baik, kopinyaa enakkk
Jenis pesanan…
Lainnya",5 bintang
Anita Nita,"tempatnya nyaman banget
Makanan: 5…
Lainnya",5 bintang
Saipul Primus,"minuman dan makanan nya enakkk, baristanya ramah dan baikkkkk
Jenis pesanan…
Lainnya",5 bintang
kputri,"Pelayanan disini selalu ramah dan profesional. Tempatnya ada 2 lantai, parkiran cukup tapi tidak terlalu luas untuk mobil. Keep up the good work Lainnya",5 bintang
Hana Manuela,"Pelayanan Barista ok.. ramah2 ..
Tarif per orang
Rp 1–25.000…
Lainnya",5 bintang
Egelll Simangunsong19,"Tempatnya nyaman&pelayanannya ramah banget😍 …
Makanan: 5…
Lainnya",5 bintang
daviand airlangga,"Tempat nya oke sebenarnya apalagi habis di renov, Usul aku 24 Jam sih, dijamin rame ni tempat.
Makanan:…
Lainnya",5 bintang
Arya Saputra Ramadani,"Gakboleh numpang solat. Parah sih
Makanan: 1…
Lainnya",1 bintang
kisma Fzh,"pelayanan barista yg cewe pake kerudung sumpah kureng bgt,judes ga ramah mana ga di ksh struknnya di tanya strukknya blm tp dia malah bilang udh eh pas gue chek kembalian nya pun kurang idih ga bgttt klo gbsa kerja mnding tdr aja mbaa🤮🤮🤮 …",1 bintang
Lenzz 24,"pramusajinya milih"" ngelayanin customernya
Layanan: 1…
Lainnya",1 bintang
Sukma Pratama,"kopinya biasa saja, pelayanannya sangat tidak memuaskan, menurut saya sekelas kopi kenangan, tidak bisa menyaingi kopi Fore, dari segi pelayanan dan rasa sangat jauh, Fore jauh lebih baik dari kopi kenangan Lainnya",2 bintang
Darwito01 Darwito01,"bnr ga
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Komariah Sanusi,"Yang pertama selalu cocok untuk dinikmati dalam setiap situasi.
Jenis pesanan…
Lainnya",4 bintang
"Harry ""NASCENA"" Situmorang","Kopi saya sehari-hari....mantan saya yang panas dengan sedikit gula. Karena dia sudah manis
Jenis pes…
Lainnya",5 bintang
M Arsyad Tuasikal,Tempat kopi yang enak di Puri Beta.,5 bintang
TerraMandiri Mnemonic,Kenangan lama yang indah,5 bintang
Sibo Mensonides,"Tempat yang bagus. Kopinya enak sekali 😃👍 …
Makanan: 5…
Lainnya",5 bintang
Gunarti Prawintana,Saya datang ke sini dua kali. Pelayanannya bagus.,5 bintang
Royke K,"tersedia banyak tempat parkir
Jenis makanan
Lainnya…
Lainnya",4 bintang
Aa Rizki Gumilang,Bagus,5 bintang
Nazwa Adhira Reswara,,5 bintang
Boy Rianto,"Oke
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
olwan Robert hutabarat,,5 bintang
mustain abdulazis,,1 bintang
Hafizha Hafizha,,5 bintang
F M,,5 bintang
Slamet Nh,,5 bintang
Sarmo Pak de mo,,5 bintang
Kevin,,5 bintang
Wahyu ehh,,5 bintang
Daniel Niel,,5 bintang
Ade Ruhiyat,Eunaakkk,5 bintang
Mrs.N,Paling dekat dengan rumah.,4 bintang
Afriliyan Riyan,Bagus,5 bintang
Imam Efendi,,5 bintang
Rezky Kharisma,,3 bintang
kesya aqila,,5 bintang
Agus Triadi,,5 bintang
Mada Komaini,,5 bintang
Riyanti Gusri,,5 bintang
ANDRIANSYAH,,5 bintang
Isa Idris,,5 bintang
Fajru Siba,,5 bintang
Rabbani Aryasatya,,5 bintang
silvia Oi,,5 bintang
Jelita Rahmawangi,,5 bintang
vey Ferdian,,5 bintang
sunday bianconero,,4 bintang
Ratna Sulistiawati,,3 bintang
Ahli pasang cctv Jakarta,,5 bintang
ntoro Pramudya,,5 bintang
Tikno Fitzeano,,5 bintang
D I K Y,,4 bintang
Daniel Hutasoit,,5 bintang
renno sadewo,,5 bintang
Paskal Prasetya,,5 bintang
M Andhika Virgiawan,,5 bintang
Sis Malvinas,,3 bintang
me familia,,5 bintang
Annida Fitriana,,5 bintang
Sony Ispana,,5 bintang
Ilman Ataunur,,1 bintang
KPLY.,,5 bintang
Silvia Eva,,5 bintang
bunga depok,,5 bintang
Irvan Maulana,,5 bintang
MusaAlKazhim,,5 bintang
TOMY RENALDY,,4 bintang
Gatot Tri Atmaja,,5 bintang
Nadiel Haidar88@gmail.com Nadiel Haidar88@gmail.com,,5 bintang
hernetti neti,,5 bintang
Alex Sukanto,,5 bintang
muhammad roffi,,4 bintang
Dadang Pirlana,,5 bintang
Della Saafira Aynayya,,5 bintang
Nurlaila Saksono,,5 bintang
Akbar Perdana,,4 bintang
Eka Panungggal,,5 bintang
Be-Loo Bordir Komputer,,4 bintang
RizAretha Shop,,5 bintang
didi sopiadi,,4 bintang
Joe Win,,5 bintang
Ismail Marzuki,,5 bintang
Ahmad Alhudori (BankEd),,4 bintang
Ike Ayu Saputri,,5 bintang
Asykur,,5 bintang
Supriyadi Supriyadi,,5 bintang
Kharisma,,5 bintang
icaaa,,5 bintang
Rismarini Yufita,,5 bintang
Shrie Ishaya Bhirowo,,5 bintang
Rommeo Sanjaya,,3 bintang
Rahmat Gunawan,,3 bintang
Rahma Yuni,,4 bintang
Azhar Rais,,4 bintang
Rizal Ijal,,5 bintang
Rezaa B,,4 bintang
khairudin,,5 bintang
Alex Surya Putra Surya Putra,,3 bintang
Lisna Wati,,5 bintang
Zeno Lie Cry,,5 bintang
agung awicorp,,5 bintang
Carmadibaim19 Baim,,5 bintang
oscar perdana,,5 bintang
Muhammad Nurhadi,,4 bintang
WENDRI WILDIARTONI0906494744,,4 bintang
Dzikril Hakim,,4 bintang
ronie Mukti,,5 bintang
sinyo brown,,5 bintang
Nepi Ariyanto,,5 bintang
Erwin Yusworo (Erwin_yus),,5 bintang
Hafid Gaming,,5 bintang
MKT CHANEL,,5 bintang
Niken Larasingtyas,,5 bintang
Alvita Sari,,4 bintang
Jagad Sejati,Oke,5 bintang
Astrid Afriyani,"""Saya selalu puas dengan Kopi Kenangan! Rasanya selalu enak, kopinya kuat tapi tetap lembut dan tidak terlalu kuat. Favorit saya adalah Es Kopi Kenangan mantan – Pelayanannya cepat, stafnya ramah, dan tempatnya bersih. Harganya sangat … Lainnya",5 bintang
Susy Susy,,5 bintang
Elize Elizabeth,Bagus,5 bintang
Alkadzim Husein,,5 bintang
M Rizky Rahmatullah,,5 bintang
Dwi Julian Setiaji,,5 bintang
Rina Mala,,5 bintang
Hadi Fesakly,,5 bintang
Pratiwi Indah,,5 bintang
Bella Widiyanthi,"Baristanya keren keren
Makanan: 5
Layanan:…
Lainnya",5 bintang
Farrel Rizky,"Bagus
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Achi Achi,"Mari kita bekerja dengan jujur. Jika Anda memesan dengan biji kopi Juwara, tolong berikan biji kopi Juwara. Tidak semua orang menyukai robusta, itulah mengapa kami memilih arabica juara. Sangat berdosa jika membuat penderita GERD kambuh ☺️☺️ Lainnya",1 bintang
Erlangga Aryaaa,,5 bintang
Anis Dwi,,5 bintang
Mia Mikewati,,5 bintang
Nurlina,,5 bintang
Bayu Samudera,,5 bintang
Christopher Abimanyu,,5 bintang
nuha aliya qurnia sari,,5 bintang
Miftachul Ulum,,5 bintang
Fajar Triadi,,5 bintang
Panji Maulana,,4 bintang
Rusdi Yanto,,5 bintang
Jidan Wildan.y,,5 bintang
Seroli,,5 bintang
Namira Salsa setiawan,,5 bintang
Nova Anwar,,5 bintang
Adi Yudianto,,5 bintang
Mute,,4 bintang
Alfa Kautsar,,5 bintang
HG,,5 bintang
Crismaria Purba,,5 bintang
DS S,,5 bintang
Novi Ajjah,,5 bintang
Samuel Putra,,5 bintang
A2Abdul Azis,,5 bintang
kenneth raphael,,5 bintang
Afri Ramdhani,,5 bintang
Maulana Yusuf,,5 bintang
Shinta Sari Dewi,,5 bintang
Edi Anwar,,5 bintang
Iis Noercevia,,5 bintang
ega sovia,,5 bintang
Bangun Budiono,,5 bintang
Wahyu Setya Ningsih,,1 bintang
Adi Santoso,,4 bintang
levy alatas,,5 bintang
Rizal (Rizal),,5 bintang
Arief Budiman,,4 bintang
Wahyu Setiono,,5 bintang
Fajar Adhari,,5 bintang
Fitri Yani,,5 bintang
Sofin Jakarta,,4 bintang
Nuri Nathan A,,5 bintang
agus arisman,,4 bintang
rien Chan,,5 bintang
ade sumantri,,5 bintang
Erie Pria,,5 bintang
Bernadus MW,,4 bintang
nani handayani,,3 bintang
Suwandi Wandi,,4 bintang
Achmad Muharor,,5 bintang
Asep Hilaludin,,5 bintang
Novrijal Novrijal,,5 bintang
Mohammad Riza,,4 bintang
Dina Novia,,5 bintang
Darto Karim,,5 bintang
fatma muin,,5 bintang
Muhammad Ammar Bestari,,5 bintang
Naren Gaming,,4 bintang
Adriano Bramantyo,,5 bintang
Novan Mulyadi,,5 bintang
Yuni Asih,,5 bintang
Bimo Hutomo,,5 bintang
Intan Maghdalena,,5 bintang
Muhamad Apriansyah,,5 bintang
Meilin Rasyid,,5 bintang
Boy Darmawan,,4 bintang
Diana Marbun,,5 bintang
Bebex Tempur,,5 bintang
Terra Sanserra,,5 bintang
Adi Legowo,,5 bintang
Rusli Anto,,5 bintang
Supri Yatno,,5 bintang
Ahadian Absalom,,5 bintang
Novia Kahar,,5 bintang
Rakha Kharisma Hakim,,5 bintang
Bagus Suryo Iswanto,,4 bintang
Muhammad Dafa,,5 bintang
Muhammad Aldhy,,5 bintang
Satya Willy,,5 bintang
jaka jack,,3 bintang
Roy Rash,,5 bintang
MaskumDER,,5 bintang
Inoola Melisa,,5 bintang
Brania Ridhanly,,5 bintang
Achmad Fadoli,,5 bintang
Chairul nur rizkY,,5 bintang
Gerry Leo Nugroho,,5 bintang
NKRI Putra,,5 bintang
Fathir Gutama,,5 bintang
Tommy Adrian P,,5 bintang
Bule Romeo,,5 bintang
muja coyy,,5 bintang
4 Fiq,,5 bintang
astri sulistiyowati,,5 bintang
Alief Diky,,4 bintang
Sephia Tri handayani,,5 bintang
Aristo Hary Wibowo,,5 bintang
Rino Avidesena,,5 bintang
Jendree Kujen,,4 bintang
ikhsan ramdani,,5 bintang
Oman Ghany,,5 bintang
Kurnia Jaya Kusuma,,5 bintang
Revan Syam,,5 bintang
Ronggo Adiwakhas,,5 bintang
